#      x          Cp  
     1.00000    0.23533
     0.99072    0.18249
     0.97797    0.15346
     0.96441    0.12862
     0.95067    0.10674
     0.93693    0.08718
     0.92316    0.06636
     0.90938    0.04625
     0.89560    0.02727
     0.88193    0.00767
     0.86823   -0.00906
     0.85454   -0.02644
     0.84085   -0.04291
     0.82717   -0.06087
     0.81348   -0.07692
     0.79981   -0.09493
     0.78630   -0.11117
     0.77268   -0.12861
     0.75893   -0.14502
     0.74517   -0.15935
     0.73136   -0.17698
     0.71755   -0.19222
     0.70380   -0.20811
     0.69002   -0.22403
     0.67622   -0.23995
     0.66238   -0.25415
     0.64854   -0.26803
     0.63473   -0.28179
     0.62098   -0.29377
     0.60722   -0.30492
     0.59345   -0.31603
     0.57976   -0.33223
     0.56621   -0.37346
     0.55253   -0.37801
     0.53888   -0.38824
     0.52518   -0.39848
     0.51139   -0.40981
     0.49763   -0.42104
     0.48388   -0.43067
     0.47018   -0.43608
     0.45645   -0.43837
     0.44262   -0.43964
     0.42881   -0.43584
     0.41492   -0.43606
     0.40103   -0.43237
     0.38727   -0.42777
     0.37355   -0.42510
     0.35978   -0.41707
     0.34593   -0.41136
     0.33202   -0.40399
     0.31811   -0.39701
     0.30422   -0.39168
     0.29046   -0.38397
     0.27675   -0.37778
     0.26298   -0.37020
     0.24914   -0.36181
     0.23530   -0.35268
     0.22162   -0.34482
     0.20801   -0.33455
     0.19444   -0.32382
     0.18071   -0.30932
     0.16693   -0.29606
     0.15326   -0.27917
     0.13967   -0.26764
     0.12601   -0.25525
     0.11243   -0.23915
     0.09896   -0.21481
     0.08557   -0.17722
     0.07228   -0.14379
     0.05913   -0.12932
     0.04639   -0.08072
     0.03408    0.02300
     0.02310    0.07421
     0.01491    0.11282
     0.00938    0.24041
     0.00567    0.38742
     0.00322    0.59679
     0.00170    0.85230
     0.00083    1.00649
     0.00026    1.03406
     0.00000    0.88061
     0.00036    0.62682
     0.00128    0.49095
     0.00257    0.08134
     0.00446   -0.31281
     0.00739   -0.37641
     0.01171   -0.36918
     0.01815   -0.30419
     0.02754   -0.21670
     0.03948   -0.21073
     0.05235   -0.24159
     0.06557   -0.22756
     0.07910   -0.21560
     0.09275   -0.22688
     0.10643   -0.23595
     0.12012   -0.23566
     0.13384   -0.23567
     0.14766   -0.22016
     0.16151   -0.22578
     0.17536   -0.23245
     0.18916   -0.23901
     0.20291   -0.24248
     0.21663   -0.24450
     0.23046   -0.24414
     0.24432   -0.24620
     0.25824   -0.24874
     0.27214   -0.25031
     0.28596   -0.25152
     0.29960   -0.25328
     0.31314   -0.25453
     0.32693   -0.25522
     0.34060   -0.25877
     0.35443   -0.25982
     0.36832   -0.26205
     0.38223   -0.26280
     0.39614   -0.26273
     0.41005   -0.26188
     0.42395   -0.26221
     0.43779   -0.25932
     0.45165   -0.25628
     0.46555   -0.25365
     0.47940   -0.24431
     0.49319   -0.23569
     0.50688   -0.22150
     0.52054   -0.21016
     0.53437   -0.19599
     0.54827   -0.18226
     0.56222   -0.16920
     0.57617   -0.15534
     0.59007   -0.14205
     0.60398   -0.12755
     0.61790   -0.11368
     0.63183   -0.09910
     0.64576   -0.08482
     0.65968   -0.07097
     0.67363   -0.05550
     0.68758   -0.04037
     0.70149   -0.02611
     0.71528   -0.01003
     0.72915    0.00432
     0.74302    0.01826
     0.75689    0.03184
     0.77081    0.04741
     0.78466    0.06200
     0.79849    0.07794
     0.81242    0.09354
     0.82637    0.10937
     0.84030    0.12300
     0.85425    0.13693
     0.86820    0.14942
     0.88207    0.16475
     0.89590    0.18065
     0.90970    0.19785
     0.92351    0.21441
     0.93727    0.22853
     0.95096    0.23758
     0.96452    0.24213
     0.97792    0.24062
     0.99065    0.23506
     1.00000    0.23533
