#      x          Cp  
     1.00000    0.22209
     0.99072    0.18440
     0.97797    0.15517
     0.96441    0.12868
     0.95067    0.10455
     0.93693    0.08237
     0.92316    0.05962
     0.90938    0.03745
     0.89560    0.01620
     0.88193   -0.00526
     0.86823   -0.02458
     0.85454   -0.04421
     0.84085   -0.06315
     0.82717   -0.08315
     0.81348   -0.10180
     0.79981   -0.12187
     0.78630   -0.14061
     0.77268   -0.16029
     0.75893   -0.17923
     0.74517   -0.19659
     0.73136   -0.21651
     0.71755   -0.23472
     0.70380   -0.25344
     0.69002   -0.27231
     0.67622   -0.29130
     0.66238   -0.30907
     0.64854   -0.32678
     0.63473   -0.34478
     0.62098   -0.36198
     0.60722   -0.37951
     0.59345   -0.39759
     0.57976   -0.41574
     0.56621   -0.43171
     0.55253   -0.44672
     0.53888   -0.46426
     0.52518   -0.47950
     0.51139   -0.49564
     0.49763   -0.51150
     0.48388   -0.52552
     0.47018   -0.53471
     0.45645   -0.54055
     0.44262   -0.54564
     0.42881   -0.54479
     0.41492   -0.54909
     0.40103   -0.54895
     0.38727   -0.54781
     0.37355   -0.54937
     0.35978   -0.54465
     0.34593   -0.54299
     0.33202   -0.53949
     0.31811   -0.53657
     0.30422   -0.53598
     0.29046   -0.53258
     0.27675   -0.53139
     0.26298   -0.52882
     0.24914   -0.52558
     0.23530   -0.52146
     0.22162   -0.51879
     0.20801   -0.51198
     0.19444   -0.50547
     0.18071   -0.50437
     0.16693   -0.50792
     0.15326   -0.49854
     0.13967   -0.49821
     0.12601   -0.49915
     0.11243   -0.49796
     0.09896   -0.48974
     0.08557   -0.46946
     0.07228   -0.45943
     0.05913   -0.47983
     0.04639   -0.46823
     0.03408   -0.39967
     0.02310   -0.43148
     0.01491   -0.51636
     0.00938   -0.49096
     0.00567   -0.45392
     0.00322   -0.29792
     0.00170    0.11082
     0.00083    0.54828
     0.00026    0.76303
     0.00000    0.92286
     0.00036    1.03644
     0.00128    0.98327
     0.00257    0.81477
     0.00446    0.55831
     0.00739    0.39342
     0.01171    0.28071
     0.01815    0.22193
     0.02754    0.20180
     0.03948    0.14659
     0.05235    0.08161
     0.06557    0.06129
     0.07910    0.04639
     0.09275    0.01687
     0.10643   -0.00717
     0.12012   -0.02037
     0.13384   -0.03021
     0.14766   -0.03850
     0.16151   -0.05091
     0.17536   -0.06249
     0.18916   -0.07405
     0.20291   -0.08330
     0.21663   -0.09106
     0.23046   -0.09655
     0.24432   -0.10355
     0.25824   -0.11073
     0.27214   -0.11687
     0.28596   -0.12240
     0.29960   -0.12809
     0.31314   -0.13314
     0.32693   -0.13762
     0.34060   -0.14428
     0.35443   -0.14884
     0.36832   -0.15420
     0.38223   -0.15821
     0.39614   -0.16133
     0.41005   -0.16364
     0.42395   -0.16678
     0.43779   -0.16708
     0.45165   -0.16701
     0.46555   -0.16710
     0.47940   -0.16134
     0.49319   -0.15576
     0.50688   -0.14567
     0.52054   -0.13755
     0.53437   -0.12766
     0.54827   -0.11854
     0.56222   -0.11110
     0.57617   -0.10680
     0.59007   -0.06870
     0.60398   -0.05826
     0.61790   -0.05051
     0.63183   -0.04095
     0.64576   -0.03079
     0.65968   -0.02062
     0.67363   -0.00799
     0.68758    0.00446
     0.70149    0.01592
     0.71528    0.03003
     0.72915    0.04201
     0.74302    0.05363
     0.75689    0.06477
     0.77081    0.07856
     0.78466    0.09097
     0.79849    0.10526
     0.81242    0.11910
     0.82637    0.13349
     0.84030    0.14504
     0.85425    0.15723
     0.86820    0.16726
     0.88207    0.18119
     0.89590    0.19574
     0.90970    0.21230
     0.92351    0.22842
     0.93727    0.24198
     0.95096    0.24921
     0.96452    0.25091
     0.97792    0.24405
     0.99065    0.22924
     1.00000    0.22209
