# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.183000e-01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
2e-06         	1.302246e-01	2.299871e-18	1.308257e-14	5.660290e-14	-1.077383e-15	1.627808e-01	6.511230e-02	6.511230e-02	1.627808e-01	-1.627808e-01	5.463899e-15	7.618666e-15
0.000509459   	1.575180e+01	2.287513e-18	8.070483e-15	-2.489781e-14	-1.092340e-15	1.968975e+01	7.875899e+00	7.875899e+00	1.968975e+01	-1.968975e+01	2.942902e-15	5.127581e-15
0.00101599    	3.101132e+01	2.275982e-18	4.560743e-15	-1.329282e-14	-2.751674e-15	3.876415e+01	1.550566e+01	1.550566e+01	3.876415e+01	-3.876415e+01	-4.713022e-16	5.032046e-15
0.00152053    	4.547201e+01	2.265563e-18	-6.583682e-14	7.364684e-14	-1.872378e-15	5.684002e+01	2.273601e+01	2.273601e+01	5.684002e+01	-5.684002e+01	-3.479079e-14	-3.104603e-14
0.00202325    	5.861288e+01	2.256587e-18	8.543422e-14	-5.798629e-14	-9.722734e-16	7.326610e+01	2.930644e+01	2.930644e+01	7.326610e+01	-7.326610e+01	4.174484e-14	4.368939e-14
0.0025243     	6.984173e+01	2.249473e-18	4.006842e-14	1.081961e-13	-1.218943e-15	8.730217e+01	3.492087e+01	3.492087e+01	8.730217e+01	-8.730217e+01	1.881527e-14	2.125315e-14
0.00302385    	7.876955e+01	2.244500e-18	5.969129e-14	-4.060222e-14	-2.289670e-15	9.846194e+01	3.938477e+01	3.938477e+01	9.846194e+01	-9.846194e+01	2.755597e-14	3.213531e-14
0.0035222     	8.548754e+01	2.241655e-18	-6.514906e-13	4.181479e-13	-2.925899e-15	1.068594e+02	4.274377e+01	4.274377e+01	1.068594e+02	-1.068594e+02	-3.286712e-13	-3.228194e-13
0.00370626    	8.743158e+01	2.240947e-18	-3.434886e-13	1.619374e-13	8.585972e-16	1.092895e+02	4.371579e+01	4.371579e+01	1.092895e+02	-1.092895e+02	-1.708857e-13	-1.726029e-13
0.00388057    	8.905934e+01	2.240158e-18	1.494549e-13	-3.339738e-13	-1.475832e-15	1.113242e+02	4.452967e+01	4.452967e+01	1.113242e+02	-1.113242e+02	7.325161e-14	7.620327e-14
0.00405801    	9.065833e+01	2.238961e-18	-1.077367e-12	1.054473e-12	-2.058527e-15	1.133229e+02	4.532917e+01	4.532917e+01	1.133229e+02	-1.133229e+02	-5.407422e-13	-5.366251e-13
0.00424538    	9.239978e+01	2.237302e-18	-2.804246e-13	7.016547e-13	-7.504906e-16	1.154997e+02	4.619989e+01	4.619989e+01	1.154997e+02	-1.154997e+02	-1.409628e-13	-1.394618e-13
0.00442923    	9.417741e+01	2.235630e-18	6.857144e-15	1.891782e-13	-4.048419e-16	1.177218e+02	4.708870e+01	4.708870e+01	1.177218e+02	-1.177218e+02	3.023730e-15	3.833414e-15
0.00462134    	9.607798e+01	2.234045e-18	-2.038022e-13	1.662620e-13	-1.162632e-15	1.200975e+02	4.803899e+01	4.803899e+01	1.200975e+02	-1.200975e+02	-1.030637e-13	-1.007385e-13
